"SUID","coexpression","cooccurrence","databases","experiments","fusion","interaction","interspecies","name","neighborhood","score","selected","shared interaction","shared name","textmining"
"15505","0.062",,,,,"pp",,"CRY1 (pp) CCRN4L",,"0.598","false","pp","CRY1 (pp) CCRN4L","0.589"
"15506","0.064",,,,,"pp",,"CRY1 (pp) NFIL3",,"0.822","false","pp","CRY1 (pp) NFIL3","0.818"
"15507","0.061",,"0.9","0.643",,"pp",,"CRY1 (pp) NPAS2",,"0.996","false","pp","CRY1 (pp) NPAS2","0.906"
"15508","0.091",,,,,"pp",,"CRY1 (pp) FECH","0.219","0.571","false","pp","CRY1 (pp) FECH","0.444"
"15509",,,,"0.532",,"pp",,"CRY1 (pp) QPRT",,"0.549","false","pp","CRY1 (pp) QPRT","0.077"
"15510","0.086",,"0.9","0.903",,"pp",,"CRY1 (pp) ARNTL",,"0.999","false","pp","CRY1 (pp) ARNTL","0.955"
"15511","0.197",,,,,"pp",,"CD74 (pp) CD4",,"0.408","false","pp","CD74 (pp) CD4","0.293"
"15512","0.381",,,,,"pp",,"CD74 (pp) LCP2",,"0.417","false","pp","CD74 (pp) LCP2","0.097"
"15513","0.049",,,,,"pp",,"CD74 (pp) CCL2",,"0.414","false","pp","CD74 (pp) CCL2","0.41"
"15514","0.447",,,,,"pp",,"CD74 (pp) SPI1",,"0.569","false","pp","CD74 (pp) SPI1","0.252"
"15515","0.066",,"0.9","0.161",,"pp",,"CD74 (pp) CTSC",,"0.927","false","pp","CD74 (pp) CTSC","0.187"
"15516","0.325",,,,,"pp",,"CD74 (pp) IL10RA",,"0.446","false","pp","CD74 (pp) IL10RA","0.212"
"15517","0.173",,"0.9","0.186",,"pp",,"CD74 (pp) HLA-DOA",,"0.945","false","pp","CD74 (pp) HLA-DOA","0.29"
"15518","0.544",,,,,"pp",,"CD74 (pp) PLEK",,"0.578","false","pp","CD74 (pp) PLEK","0.112"
"15519","0.082",,"0.9",,,"pp",,"CD74 (pp) CTSD",,"0.919","false","pp","CD74 (pp) CTSD","0.197"
"15520",,,,,,"pp",,"CD74 (pp) PLAGL2",,"0.48","false","pp","CD74 (pp) PLAGL2","0.48"
"15521","0.155",,,,,"pp",,"CD74 (pp) CD68",,"0.47","false","pp","CD74 (pp) CD68","0.398"
"15522","0.186",,,"0.059",,"pp",,"CD74 (pp) TLR2",,"0.414","false","pp","CD74 (pp) TLR2","0.297"
"15523","0.581",,,,,"pp",,"CD74 (pp) TYROBP",,"0.674","false","pp","CD74 (pp) TYROBP","0.254"
"15524","0.145",,,,,"pp",,"CD74 (pp) CD80",,"0.478","false","pp","CD74 (pp) CD80","0.414"
"15525","0.471",,,,,"pp",,"CD74 (pp) CD53",,"0.641","false","pp","CD74 (pp) CD53","0.349"
"15526",,,"0.9",,,"pp",,"CD74 (pp) SEC24D",,"0.9","false","pp","CD74 (pp) SEC24D",
"15527","0.431",,,,,"pp",,"CD74 (pp) CSF1R",,"0.569","false","pp","CD74 (pp) CSF1R","0.274"
"15528","0.204",,,,,"pp",,"CD74 (pp) FCER1G",,"0.433","false","pp","CD74 (pp) FCER1G","0.317"
"15529","0.231",,,,,"pp",,"CD74 (pp) CCR5",,"0.441","false","pp","CD74 (pp) CCR5","0.303"
"15530","0.587",,,,,"pp",,"CD74 (pp) LAPTM5",,"0.643","false","pp","CD74 (pp) LAPTM5","0.172"
"15531","0.077",,,,,"pp",,"CD74 (pp) CXCR1",,"0.513","false","pp","CD74 (pp) CXCR1","0.495"
"15532","0.264",,,,,"pp",,"CD74 (pp) CCR1",,"0.465","false","pp","CD74 (pp) CCR1","0.303"
"15533","0.062",,,,,"pp",,"CD74 (pp) CXCL8",,"0.444","false","pp","CD74 (pp) CXCL8","0.431"
"15534",,,,"0.063",,"pp",,"CD74 (pp) KIF5B",,"0.412","false","pp","CD74 (pp) KIF5B","0.399"
"15535","0.142",,,,,"pp",,"CD74 (pp) CD84",,"0.602","false","pp","CD74 (pp) CD84","0.555"
"15536","0.435",,,,,"pp",,"CD74 (pp) C1QB",,"0.633","false","pp","CD74 (pp) C1QB","0.377"
"15537","0.061",,,,,"pp",,"CD74 (pp) CXCR2",,"0.693","false","pp","CD74 (pp) CXCR2","0.686"
"15538","0.346",,,,,"pp",,"CD74 (pp) CD86",,"0.634","false","pp","CD74 (pp) CD86","0.462"
"15539","0.598",,"0.9","0.701",,"pp",,"CD74 (pp) HLA-DQA1",,"0.993","false","pp","CD74 (pp) HLA-DQA1","0.5"
"15540","0.061",,"0.9","0.886",,"pp",,"CD74 (pp) CTSL",,"0.991","false","pp","CD74 (pp) CTSL","0.28"
"15541","0.061",,"0.9","0.161",,"pp",,"CD74 (pp) CTSB",,"0.942","false","pp","CD74 (pp) CTSB","0.36"
"15542","0.231",,,,,"pp",,"CD74 (pp) FCGR2B",,"0.484","false","pp","CD74 (pp) FCGR2B","0.356"
"15543","0.854",,"0.9","0.864",,"pp",,"CD74 (pp) HLA-DRB1",,"0.998","false","pp","CD74 (pp) HLA-DRB1","0.463"
"15544","0.337",,,,,"pp",,"CD74 (pp) CD300A",,"0.427","false","pp","CD74 (pp) CD300A","0.17"
"15545","0.37",,,,,"pp",,"CD74 (pp) MPEG1",,"0.418","false","pp","CD74 (pp) MPEG1","0.113"
"15546","0.171",,,,,"pp",,"CD74 (pp) CXCL9",,"0.436","false","pp","CD74 (pp) CXCL9","0.348"
"15547","0.291",,,,,"pp",,"CD74 (pp) FCGR3A",,"0.458","false","pp","CD74 (pp) FCGR3A","0.266"
"15548","0.334",,,,,"pp",,"CD74 (pp) MNDA",,"0.408","false","pp","CD74 (pp) MNDA","0.148"
"15549","0.154",,,,,"pp",,"CD74 (pp) CD40",,"0.544","false","pp","CD74 (pp) CD40","0.482"
"15550","0.376",,,,,"pp",,"CD74 (pp) C1QC",,"0.596","false","pp","CD74 (pp) C1QC","0.379"
"15551","0.599",,,,,"pp",,"CD74 (pp) C1QA",,"0.686","false","pp","CD74 (pp) C1QA","0.249"
"15552","0.525",,"0.9","0.472",,"pp",,"CD74 (pp) HLA-DMA",,"0.989","false","pp","CD74 (pp) HLA-DMA","0.641"
"15553","0.605",,"0.9","0.412",,"pp",,"CD74 (pp) HLA-DQA2",,"0.984","false","pp","CD74 (pp) HLA-DQA2","0.414"
