"","gene","lfc1","lfc2","lfc3","lfc4e","lfc4s"
"170","DNAH9",0.459050611691783,-0.739034039456871,-0.464494778440488,-0.478694918603546,0.0238102236478056
"171","KIAA0100",-0.0531319161239836,-0.122050117845242,-0.11522242868111,-0.188103386626144,-0.135291137461033
"172","SLC13A2",-4.84891221310268,-1.76414248600831,-2.50286357917709,-2.01590301409754,-2.55085772102931
"173","GAS7",-1.67478345680888,-2.49274112387144,-2.86363054430043,-0.805833936198663,-0.613160720379831
"174","TRAPPC6A",-0.336631385383508,0.501396763744502,0.538658644288577,0.245283499200145,0.113693668130154
"175","MATK",-0.621859835497076,-1.80494013012352,-1.97273505546309,-0.549762093646838,-0.32809602676161
"176","CEACAM7",-5.08258237037037,-4.0226955698712,-3.75462865015403,-4.29833728777917,-4.7998403240497
"177","CD79B",-2.57138917218615,-3.0068473591668,-2.34373079726165,-2.16875597438974,-1.32551026019635
"178","SCN4A",-3.28590058288412,-2.1935027184059,-3.30342176642803,-2.24054082802791,-0.634868509013009
"179","ST7L",0.232501708815003,0.214884447948167,0.134673294817975,0.0595016512081808,0.187643491546154
"180","TKTL1",-0.144759048948809,1.10993319155361,0.0959418051808914,0.577012304646673,0.291905991009115
"181","PAX6",0.221446287153485,-0.297627607245285,0.0886426400001974,-0.368083623207368,-0.136310801925656
"182","RPUSD1",0.85507652844614,1.2556066287789,1.05893086701915,0.960332304833585,0.630944472675728
"183","RHBDF1",0.55568924655062,0.906883448825031,0.912611909888051,0.925105294871178,0.857606803363071
"184","LUC7L",0.775072959456154,0.945603397166288,0.876397159446253,0.74058988948847,0.782309985142531
"185","CACNA2D2",-1.52651470602246,-0.861319468316963,1.31622863327722,-0.556775755266731,-0.15192257036887
"186","BAIAP3",-0.181709864730918,-0.440447762983926,-0.0455073470976283,-0.190740312560892,-0.0381838072147726
"187","TSR3",0.0771256949871172,0.219626698120552,0.260009820274357,0.114102071832058,-0.0610948139848556
"188","PIGQ",0.278928095228078,0.41465496004846,0.609935518222555,0.276890244559589,0.279624048813048
"189","CRAMP1",0.243288818139245,0.505901630956236,0.492587690306424,0.355221651956305,0.482881975635825
"190","TEAD3",-0.772628127206476,-0.526310372451665,-0.521431499088036,-0.381377737032301,-0.303127664997868
"191","SELE",0.357632091376097,-0.418186309167688,-1.88320334575386,1.77353266649652,0.999231612264765
"192","DNAJC11",-0.259809885090498,-0.398886256338249,-0.346550121476458,-0.616284254886807,-0.634486387377373
"193","FMO3",0.716911811025192,0.883542699529295,0.285153536615313,1.49924009556371,1.72753054000975
"194","MYLIP",-0.675151953393554,-0.0921209493303836,-0.21027574321238,-0.262682431741236,0.0289567640707622
"195","NOX1",-0.805765633969558,1.12688947298125,0.731541324004552,0.672211044044742,0.475848288144949
"196","E2F2",-0.179123121928558,-0.64149942967679,-0.341190264838376,-1.16597492648359,-1.26682714457198
"197","PSMB1",0.445473610998976,0.596266260252929,0.480989341505879,0.382236623985099,0.127151652182059
"198","SYN1",-0.0833048499380551,0.0643631731943255,-0.365392976365777,0.0761902589211335,0.294313949769687
"199","JARID2",-0.0153238057946709,0.418461444416942,0.245405613222007,0.437118440384245,0.54718972231567
"200","CDKL5",0.0114846869905601,-0.0338642086651361,-0.0287107652867073,0.748617079244346,0.768249940259696
"201","CAMK1G",0.773319855164173,-0.78136675480048,-0.843196741876324,0.998657084298714,0.790855005490921
"202","CDK11A",-0.00416953941771714,0.129864418306437,0.352858326330353,-0.0959367796767614,-0.060617592224102
"203","NADK",-0.46107933509292,-0.401765148214571,-0.203712199933508,-0.546317291820118,-0.519030885259502
"204","TFAP2B",-2.58952090989809,-4.20819798782459,-4.23711053441563,-3.46378711750449,-2.24854475612716
"205","TFAP2D",0.584173711972014,0.486116559921951,0.518958068427717,0.776476950915532,1.34465928673371
"206","DLEC1",-0.520495290191715,-1.05741565087066,0.22809143981494,-0.63937918781838,-0.937289832310729
